acronyms,terms
IBEX,Interstellar Boundary Explorer
IGS,International GNSS Service
IGY,International Geophysical Year
IHY,International Heliophysical Year
IKAROS,Interplanetary Kite-craft Accelerated by Radiation of the Sun
IMAGE,Imager for Magnetopause-to-Aurora Global Exploration
IMAP,Interstellar Mapping and Acceleration Probe
IMF,interplanetary magnetic field 
IMP,Interplanetary Monitoring Platform
IMPACT,In Situ Measurements of Particles and CME Transients
INCA,Imaging Neutral Atom Camera
INMS,Ion Neutral Mass Spectrograph
IR,infrared
IRIS,Interface Region Imaging Spectrograph
ISCCP,International Satellite Cloud Climatology Project
ISEE,International Sun-Earth Explorer
ISI,Institute for Scientific Information
ISM,interstellar medium
ISMF,interstellar magnetic field
ISOON,Improved Solar Observing Optical Network
ISR,incoherent scatter radar
ISS,International Space Station
IT,ionosphere-thermosphere
ITAR,International Traffic in Arms Regulations
ITM,ionosphere-thermosphere-mesosphere 
IVM,Ion Velocity Meter
JAXA,Japan Aerospace Exploration Agency
JPL,Jet Propulsion Laboratory
L1,Sun-Earth Lagrangian Point 1 
L5,Sun-Earth Lagrangian Point 5
LANL,Los Alamos National Laboratory
LBH,Lyman-Birge-Hopfield
LCAS,Low-Cost Access to Space
LECP,low-energy charged-particle
LEO,low Earth orbit
LET,Low Energy Telescope
LISM,Local Interstellar Medium
LPV,Localizer Performance with Vertical Guidance
LT,local time
LWS,Living With a Star
MAC,Magnetospheric-Atmosphere Coupling (mission)
MagCat,Magnetospheric Constellation and Tomography (mission)
MagCon,Magnetospheric Constellation (mission)
MEDICI,"Magnetosphere Energetics, Dynamics, and Ionospheric Coupling Investigation"
MEMS,microelectromechanical system
MESSENGER,"Mercury Surface, Space Environment, Geochemistry, and Ranging"
MHD,magnetohydrodynamic
MI,magnetosphere-ionosphere
MIDEX,Mid-size Explorer
MISTE,Magnetosphere-Ionosphere Source Term Energetics (mission)
MIT,magnetosphere-ionosphere-thermosphere
MLSO,Mauna Loa Solar Observatory
MLT,mesosphere and lower thermosphere
MMS,Magnetospheric Multiscale (mission)
MO&DA,mission operations and data analysis
MODIS,Moderate Resolution Imaging Spectroradiometer
MPS,Mathematical and Physical Sciences
MREFC,Major Research Equipment and Facilities Construction (program)
MRF,Medium-Scale Research Facility
MSO,Mees Solar Observatory
MWO,Mt. Wilson Observatory
NASA,National Aeronautics and Space Administration
NCAR,National Center for Atmospheric Research
NESDIS,"National Environmental Satellite, Data, and Information Service"
NESSF,NASA’s Earth and Space Science Fellowship (program)
NGDC,National Geophysical Data Center
NIST,National Institute of Standards and Technology
NJIT,New Jersey Institute of Technology
NOAA,National Oceanic and Atmospheric Administration
NRC,National Research Council
NSF,National Science Foundation
NSO,National Solar Observatory
NST,New Solar Telescope
NSWP,National Space Weather Program
NuSTAR,Nuclear Spectroscopic Telescope Array
NWM,Neutral Wind Meter
NWS,National Weather Service
OCT,Office of the Chief Technologist
OEDG,Opportunities for Enhancing Diversity in the Geosciences (program)
ORBITALS,"Outer Radiation Belt Injection, Transport, Acceleration and Loss Satellite"
OVSA,Owens Valley Solar Array
PARS,Polar Aeronomy and Radio Science
PFISR,Poker Flat Incoherent Scatter Radar
PI,principal investigator
POES,Polar Operational Environmental Satellite
P-POD,Poly Picosatellite Orbital Deployer
PUI,pickup ion
PW,planetary waves
QBO,quasi-biennial oscillation
RE,Earth radius
RS,Sun radius
R&A,research and analysis
RAX,Radio Aurora Explorer
RBSP,Radiation Belt Storm Probe; renamed Van Allen Probes
REPT,Relativistic Electron-Proton Telescope
REU,Research Experiences for Undergraduates
RFI,request for information
RHESSI,Ramaty High-Energy Solar Spectroscopic Imager
RISR,Resolute Bay Incoherent Scatter Radar
ROSES,Research Opportunities in Space and Earth Sciences
RPA,Ion Retarding Potential Analyzer
SABER,Sounding of the Atmosphere using Broadband Emission Radiometry
SALMON,Stand Alone Missions of Opportunities Notice
SAMPEX,Solar Anomalous and Magnetospheric Particle Explorer
SAPS,subauroral polarization streams
SCOSTEP,Scientific Committee on Solar-Terrestrial Physics
SDO,Solar Dynamics Observatory
SEE,Solar Eruptive Events (mission)
SEP,solar energetic particle
SFO,San Fernando Observatory
SHINE,"Solar, Heliosphere and Interplanetary Environment"
SHP,solar and heliospheric physics
SKR,Saturnian Kilometric Radio
SM,servicing mission
SMD,Science Mission Directorate
SMEI,Solar Mass Ejection Imager
SMEX,Small Explorer
SNOE,Student Nitric Oxide Explorer
SNR,signal-to-noise ratio
SO,Solar Orbiter
SOHO,Solar and Heliospheric Observatory
SOLIS,Synoptic Optical Long-term Investigations of the Sun
SOON,Solar Observing Optical Network
SORCE,Solar Radiation and Climate Experiment
SPA,Space Physics and Aeronomy
SPARC,Stratospheric Processes and Their Role in Climate
SPASE,Space Physics Archive Search and Extract
SPD,Solar Physics Division
SPI,Solar Polar Imager
SPP,Solar Probe Plus 
SRAG,Space Radiation Analysis Group
SRP,solar radiation pressure
SR&T,supporting research and technology
SSP,solar sail propulsion 
SSPIS,Solar and Space Physics Information System
STE,suprathermal electron
STEM,"science, technology, engineering, and mathematics"
STEREO,Solar-Terrestrial Relations Observatory
STP,Solar-Terrestrial Probes (program)
SuperDARN,Super Dual Auroral Radar Network
SUVIT,Solar UV-Visible-IR Telescope
SWaC,space weather and climatology
SWAP,"space, weight, and power"
SWICS,Solar Wind Ion Composition Spectrometer
SWL,Space Weather Laboratory
SWMI,solar wind-magnetosphere interactions
SWPC,Space Weather Prediction Center
SXT,Soft X-Ray Telescope
TDRSS,Tracking and Data Relay Satellite System
TEC,total electron content
TEX,tiny Explorers
THEMIS,Time History of Events and Macroscale Interactions during Substorms
TIM,Total Irradiance Monitor
TIMED,Thermosphere-Ionosphere-Mesosphere Energetics and Dynamics
TR&T,Targeted Research and Technology
TRACE,Transition Region and Coronal Explorer
TRL,technology readiness level
TS,termination shock
TSI,total solar irradiance
TWINS,Two Wide-Angle Imaging Neutral-Atom Spectrometers
UARS,Upper Atmosphere Research Satellite
UHURU,"Small Astronomical Satellite 1, Swahili for Freedom"
ULDB,Ultra Long Duration Balloon
USAF,U.S. Air Force
USGS,U.S. Geological Survey
USML,U.S. Munitions List
UT,universal time 
UV,ultraviolet
UVCS,Ultraviolet Coronagraph Spectrometer
V1,Voyager 1
V2,Voyager 2
VxO,(domain-specific) virtual observatory
WAAS,Wide Area Augmentation System
WACCM,Whole Atmosphere Community Climate Model
WBS,work breakdown structure
WHI,Whole Heliosphere Interval
WLC,White Light Coronagraph
WPI,wave-particle interaction
WSA-Enlil,Wang-Sheely-Arge-Enlil
WSO,Wilcox Solar Observatory
