envo_id,envo_uri,label,definition,synonyms,match_score,match_reason,matched_reference_terms
ENVO:01001197,http://purl.obolibrary.org/obo/ENVO_01001197,induced magnetosphere,"A magnetosphere which either 1) cannot withstand the pressure of the stellar wind interacting with it, thus allowing the stellar wind to interact with the ionosphere, atmosphere, or surface of the planet generating it or 2) is formed by the interaction of the stellar wind with an astronomical body unshielded by its own magnetosphere.",,90,contains_heliophysics_anchor | phrase_match,magnetosphere
ENVO:01001214,http://purl.obolibrary.org/obo/ENVO_01001214,infrared stellar radiation,"A stellar radiation process during which electromagnetic waves or their quanta are emitted from a star when molecules change their rotational-vibrational movements, usually at wavelengths between 760 nm and 1 mm.",IR stellar radiation | infra-red stellar radiation | infrared radiation | infrared solar radiation,90,contains_heliophysics_anchor | phrase_match,solar radiation
ENVO:01001734,http://purl.obolibrary.org/obo/ENVO_01001734,insolation process,A process during which direct stellar radiation interacts with a planetary surface.,incoming solar radiation | insolation,90,contains_heliophysics_anchor | phrase_match,solar radiation
ENVO:01001198,http://purl.obolibrary.org/obo/ENVO_01001198,intrinsic magnetosphere,A magnetosphere which shields the body generating it from the stellar wind by withstanding the stellar wind's pressure before it reaches the body.,,90,contains_heliophysics_anchor | phrase_match,magnetosphere
ENVO:01001219,http://purl.obolibrary.org/obo/ENVO_01001219,ionizing stellar radiation,A stellar radiation process during which electromagnetic waves or their quanta are emitted from a star with sufficient energy to disrupt molecular bonds or alter the electron number of atoms.,ionising solar radiation | ionising stellar radiation,90,contains_heliophysics_anchor | phrase_match,solar radiation
ENVO:01000796,http://purl.obolibrary.org/obo/ENVO_01000796,mass plasma flow,A process whereby a large volume of plasma moves due to a disequilibrium of physical forces.,,90,contains_heliophysics_anchor | phrase_match,plasma
ENVO:01001212,http://purl.obolibrary.org/obo/ENVO_01001212,microwave stellar radiation,A stellar radiation process during which electromagnetic waves or their quanta are emitted from a star at wavelengths and frequencies which travel exclusively in a line-of-sight fashion and which may produce molecular rotation and torsion on contact with matter.,microwave solar radiation,90,contains_heliophysics_anchor | phrase_match,solar radiation
ENVO:01000822,http://purl.obolibrary.org/obo/ENVO_01000822,planetary photic zone,"A planetary part which is exposed, at least periodically, to light.",photosphere,90,contains_heliophysics_anchor | phrase_match,photosphere
ENVO:01001213,http://purl.obolibrary.org/obo/ENVO_01001213,radio wave stellar radiation,A stellar radiation process during which electromagnetic waves or their quanta are emitted from a star at wavelengths ranging from millimetre to kilometer scales.,radio wave solar radiation,90,contains_heliophysics_anchor | domain_token_hits>=3 | phrase_match,solar radiation
ENVO:01001211,http://purl.obolibrary.org/obo/ENVO_01001211,stellar radiation,An electromagnetic radiation process during which electromagnetic waves or their quanta are emitted from a star.,solar radiation,90,contains_heliophysics_anchor | fuzzy_label_match>=0.86 | phrase_match,solar radiation
ENVO:01000794,http://purl.obolibrary.org/obo/ENVO_01000794,stellar wind,"A stream of plasma primarily composed of electrons, protons, and alpha particles ejected from the upper atmosphere of a star.",Solar wind,90,contains_heliophysics_anchor | phrase_match,solar wind
ENVO:01001216,http://purl.obolibrary.org/obo/ENVO_01001216,ultraviolet stellar radiation,A stellar radiation process during which electromagnetic waves or their quanta are emitted from a star at wavelengths between 10 nm and 400 nm.,ultraviolet solar radiation,90,contains_heliophysics_anchor | domain_token_hits>=3 | phrase_match,solar radiation | ultraviolet
ENVO:01001215,http://purl.obolibrary.org/obo/ENVO_01001215,visible spectrum stellar radiation,A stellar radiation process during which electromagnetic waves or their quanta are emitted from a star at wavelengths between 380 nm and 760 nm.,optical stellar radiation | visible spectrum solar radiation,90,contains_heliophysics_anchor | phrase_match,solar radiation
ENVO:21001217,http://purl.obolibrary.org/obo/ENVO_21001217,X-ray radiation,A radiation process during which penetrating electromagnetic radiation is emitted by high-energy electrons as they fall into a lower state of energy.,X ray radiation | X-ray,90,contains_heliophysics_anchor | domain_token_hits>=3 | phrase_match | token_overlap>=0.60,x ray
ENVO:01001217,http://purl.obolibrary.org/obo/ENVO_01001217,X-ray stellar radiation,A stellar radiation process during which penetrating electromagnetic radiation is emitted by high-energy electrons as they fall into a lower state of energy.,X-ray solar radiation | x ray stellar radiation,90,contains_heliophysics_anchor | domain_token_hits>=3 | phrase_match | token_overlap>=0.60,solar radiation | x ray
