reference_term,status,nearest_envo_label_1,nearest_envo_label_2,nearest_envo_label_3
atmosphere space interactions monitor on the iss,missing_in_envo,atmosphere ocean momentum transfer process,atmospheric aerosolisation of dust,concentration of nitrogen atom in soil
atmospheric chemistry and dynamics branch laboratory for atmospheres earth sciences division science and exploration directorate goddard space flight center nasa,missing_in_envo,,,
atmospheric emitted radiation,missing_in_envo,atmospheric wind direction,atmospheric aerosol formation,particle beam radiation
atmospheric imaging assembly on solar dynamics observatory,missing_in_envo,,,
atmospheric radiation,missing_in_envo,atmospheric wind direction,atmospheric lightning,atmospheric zone
atmospheric radiation measurement project,missing_in_envo,atmospheric aerosolisation of dust,atmospheric observatory system,atmospheric aerosolised particle formation event
atmospheric radiation measurement project u s department of energy,missing_in_envo,,,
atmospheric winds,missing_in_envo,atmospheric wind,atmospheric wind speed,atmospheric wind intensity
aurora,missing_in_envo,airport,road,carr
aurora forecasts,missing_in_envo,subtropical forest,tropical forest,broadleaf forest
auroral activity,missing_in_envo,laboratory facility,educational facility,urology unit facility
auroral boundary,missing_in_envo,transform plate boundary,astronomical body,natural harbor
auroral oval,missing_in_envo,natural wax,natural gas,arable soil
auroral photometer snoe,missing_in_envo,photometeor,rural stormwater,neutral hot spring
auroral precipitation,missing_in_envo,volume of hydrological precipitation,hydrological precipitation process,chemical precipitation process
auroral region,missing_in_envo,terrestrial ecoregion,ecoregion,marine coral reef biome
auroral substorm,missing_in_envo,tropical storm,rural stormwater,natural harbor
aventech aimms 30 airborne wind sensor,missing_in_envo,,,
background radiation,missing_in_envo,ultrasound radiation,acoustic radiation,infrared radiation
beta radiation,missing_in_envo,radiation,stellar radiation,x ray radiation
body wave,missing_in_envo,boundary wall,pond water,food waste
bora winds,missing_in_envo,fall wind,rapids,drainage wind
boundary layer winds,missing_in_envo,boundary layer,atmospheric boundary layer,boundary wall
bow shock,missing_in_envo,foreshock,cow shed,blowhole
bow shock crossing,missing_in_envo,obsolete salad dressing,shower curtain,rock intrusion
canyon wind,missing_in_envo,canyon,monsoon wind,foehn wind
chergui wind,missing_in_envo,glacier wind,atmospheric wind,stellar wind
chinook wind,missing_in_envo,monsoon wind,foehn wind,glacier wind
chromosphere,missing_in_envo,thermosphere,cryosphere,troposphere
climate and radiation branch laboratory for atmospheres earth sciences division science and exploration directorate goddard space flight center nasa,missing_in_envo,,,
climate hazards group infrared precipitation with stations,missing_in_envo,,,
cloud aerosol water radiation interactions icare thematic center,missing_in_envo,,,
cme,missing_in_envo,ice,icemelt,climate
coastal wave program,missing_in_envo,coastal water body,coastal sea water,coastal upwelling front
coherent electromagnetic radiation,missing_in_envo,electromagnetic radiation,acoustic radiation,visible spectrum radiation
cold wave,missing_in_envo,cloud water,cold seep,closed eaves
colorado school of mines center for wave phenomena colorado,missing_in_envo,,,
combined release and radiation effects satellite,missing_in_envo,,,
conical scanning millimeter wave imaging radiometer,missing_in_envo,,,
conical scanning sub mm wave imaging radiometer,missing_in_envo,,,
convective processes experiment aerosols winds,missing_in_envo,obsolete processed meat product,,
corona,missing_in_envo,scoria,ecoregion,cold front
corona holes,missing_in_envo,iron ore,borehole,cryoconite hole
coronal hole,missing_in_envo,coral reef,iron ore,environmental role
coronal loop,missing_in_envo,coastal flood,continental slope,coastal flooding
coronal mass ejection,missing_in_envo,colloidal suspension,oronasal secretion material,tropical marine condition
coronal mass ejections,missing_in_envo,oronasal secretion material,colloidal suspension,tropical marine condition
coronal rain,missing_in_envo,coal mine,terminal moraine,control panel
cosmic radiation,missing_in_envo,acoustic radiation,microwave radiation,irradiation
cosmic ray,missing_in_envo,cosmetic product,cryospheric layer,acoustic radiation
cosmic rays,missing_in_envo,cosmetic product,cryospheric layer,acoustic radiation
cross track infrared and advanced technology microwave sounders,missing_in_envo,,,
crustal dynamics data information system geodesy and geophysics laboratory earth sciences division sciences and exploration directorate goddard space flight center nasa,missing_in_envo,,,
current wind meters,missing_in_envo,currency note,marine wind mixed layer,turpentine
desert wind,missing_in_envo,desert island,desert sand,desert
differential particle flux,missing_in_envo,terrestrial ice calf,microplastic particle,diatomite particle
diffuse aurora,missing_in_envo,desert area,bush area,effusive eruption
digital wave processing experiment,missing_in_envo,natural gas processing plant,meat processing plant,nitrate reducing sediment
discrete aurora,missing_in_envo,concrete road,forested area,restaurant
downslope wind,missing_in_envo,downslope katabatic wind,monsoon wind,atmospheric wind
downslope wind storm,missing_in_envo,wind storm,downslope katabatic wind,atmospheric storm
downwelling longwave radiation,missing_in_envo,outgoing longwave radiation,radio wave radiation,ionizing stellar radiation
downwelling shortwave radiation,missing_in_envo,net shortwave radiation,shortwave radiation,outgoing longwave radiation
earth clouds aerosol and radiation explorer,missing_in_envo,secondary atmospheric aerosol formation event,formation of a liquid aerosol in an atmosphere,formation of a solid aerosol in an atmosphere
earth radiation budget,missing_in_envo,stellar radiation,stellar radiation energy,particle radiation
earth radiation budget experiment,missing_in_envo,stellar radiation energy,fragmentation due to weathering,radioactive sediment
earth radiation budget experiment erbe making earth science data records for use in research environments m ea sur es,missing_in_envo,,,
earth radiation budget experiment wide field of view nonscanner,missing_in_envo,,,
earth radiation budget satellite,missing_in_envo,artificial satellite,stellar radiation energy,stellar radiation
earth radiation measurement,missing_in_envo,stellar radiation energy,stellar radiation,particle radiation
easterly wave,missing_in_envo,sterile water,waste water,water well
effects of uv radiation on antarctic bacteria,missing_in_envo,fossilization of organic material,concentration of lanthanum in water ice,temperature of environmental material
eit wave,missing_in_envo,ditch water,sea cave,ice cave
electric field and wave experiment,missing_in_envo,electromagnetic wave energy,obsolete fermented agave beverage,mechanical wave energy
electrically scanning microwave radiometer,missing_in_envo,chemically enriched sediment,chemically contaminated sediment,neritic sea surface microlayer biome
electromagnetic spectrum,missing_in_envo,electromagnetic wave energy,electromagnetic radiation,magnetic energy
electromagnetic wave,missing_in_envo,electromagnetic wave energy,electromagnetic radiation,volcanic cave
electron flux,missing_in_envo,electric lamp,petroleum,tectonic lake
electrostatic wave,missing_in_envo,electromagnetic wave energy,electrostatic discharge process,electric lamp
energetic charged particles,missing_in_envo,electrostatic discharge process,megaplastic particle,groundwater discharge process
energetic particles acceleration composition and transport wind,missing_in_envo,,,
energetic solar particle event,missing_in_envo,aerosolised particle formation event,atmospheric aerosolised particle formation event,megaplastic particle
equatorial pacific meridional wind anomaly index,missing_in_envo,,,
equatorial pacific zonal wind anomaly index,missing_in_envo,oceanic hadal pelagic zone biome,,
ers wind scatterometer,missing_in_envo,wind storm,nest of termite,skin environment
estimated kp,missing_in_envo,sea state,nesting material,desalinated water
eulerian wind,missing_in_envo,stellar wind,glacier wind,foehn wind
extreme ultraviolet,missing_in_envo,extreme high temperature environment,ultraviolet radiation,digestive tract environment
extreme ultraviolet variability experiment on solar dynamics observatory,missing_in_envo,,,
f corona,missing_in_envo,tuff cone,ecoregion,scoria
fai fast auroral imager images the auroral emission in the near infrared nir and visible vis spectral range,missing_in_envo,,,
fast auroral snapshot explorer,missing_in_envo,fast neutron reactor,natural based polymer,
flare,missing_in_envo,flame,latrine,lake
flare genesis experiment,missing_in_envo,polar environment,marine environment,healthcare environment
flare stars,missing_in_envo,forestry,marine streamer,latrine slab
flares research at the maximum of solar cycle 22,missing_in_envo,,,
flexible microwave payload version2,missing_in_envo,microwave radiation,obsolete creamy salad dressing,microwave stellar radiation
flight level winds,missing_in_envo,straight line wind,fall wind,jet effect wind
foehn wave,missing_in_envo,open eaves,foehn wind,fresh water
foehn winds,missing_in_envo,foehn wind,frozen land,monsoon wind
fog wind,missing_in_envo,foehn wind,fall wind,monsoon wind
fraction of absorbed photosynthetically active radiation fapar,missing_in_envo,irradiation by photosynthetically active radiation,,
frontal wave,missing_in_envo,frost heave,erosional cave,talus cave
galaxy winds,missing_in_envo,glacier wind,galaxy,fall wind
gamma radiation,missing_in_envo,gamma ray radiation,radiation,x ray radiation
gamma radiation detector,missing_in_envo,gamma ray radiation,stellar radiation energy,gravitational energy
gamma ray,missing_in_envo,gamma ray radiation,animal trap,galaxy
gamma ray burst detector,missing_in_envo,gamma ray stellar radiation,gamma ray radiation,membrane bioreactor
gamma ray bursters,missing_in_envo,gamma ray radiation,gamma ray stellar radiation,macroburst
gamma ray bursts,missing_in_envo,gamma ray radiation,macroburst,gamma ray stellar radiation
gamma ray flux,missing_in_envo,gamma ray radiation,animal carcass fall,gamma ray stellar radiation
geomagnetic activity,missing_in_envo,electromagnetic radiation,electromagnetic wave energy,haematology unit facility
geomagnetic field,missing_in_envo,volcanic field,sea ice field,maize field
geomagnetic forecasts,missing_in_envo,montane forest,temperate forest,syngenetic karst
geomagnetic indices,missing_in_envo,magnetic energy,electromagnetic radiation,electromagnetic wave energy
geomagnetic kp index,missing_in_envo,magnetic energy,electromagnetic wave energy,electromagnetic radiation
geomagnetic storm,missing_in_envo,marine benthic storm,magnetic energy,electromagnetic radiation
geomagnetic storm category,missing_in_envo,electromagnetic radiation,magnetic energy,domestic solar panel array
geomagnetic storm space weather storm in the earths magnetopshere,missing_in_envo,,,
geostationary earth radiation budget,missing_in_envo,ultraviolet radiation,infrared radiation,gamma ray radiation
global oscillation network group national solar observatory,missing_in_envo,,,
global precipitation measurement microwave imager,missing_in_envo,hydrological precipitation process,,
goes proton event catalog,missing_in_envo,gaseous environmental material,environmental material,obsolete cantaloupe
goes soft xray flare event catalog,missing_in_envo,usage of an environment for recreation,obsolete naturally occuring environmental material,
goes wind index,missing_in_envo,processing line,foehn wind,ground moraine
gorge wind,missing_in_envo,foehn wind,drainage wind,glacier wind
grace fo microwave instrument,missing_in_envo,medical instrument,face skin environment,attractive environment
gravitational waves,missing_in_envo,gravitational energy,gravitational motion,inflationary cave
gravity wave,missing_in_envo,granite,primary cave,amenity lake
gravity waves,missing_in_envo,granite,primary cave,amenity lake
gregau wind,missing_in_envo,glacier wind,fall wind,drainage wind
halo cme,missing_in_envo,halo,hair ice,shale
halo cme flare magnetic storm catalog,missing_in_envo,,,
hard x ray burst spectrometer,missing_in_envo,,,
hard xrays,missing_in_envo,hoar crystal,red clay,pharmacy
hawking radiation,missing_in_envo,ionizing radiation,irradiation,radiation
head wind,missing_in_envo,stellar wind,fall wind,lead paint
heat cold wave frequency intensity,missing_in_envo,area of developed space with medium usage intensity,atmospheric wind intensity,healthcare facility
heat wave,missing_in_envo,sea cave,sea water,headwater
helioseismic and magnetic imager on solar dynamics observatory,missing_in_envo,,,
heliosphere,missing_in_envo,rhizosphere,lithosphere,exosphere
helmholtz wave,missing_in_envo,bore hole water,meltwater,ballast water
hessi flare,missing_in_envo,hypersaline lake,silage,helium planet
hiaper airborne radiation package,missing_in_envo,far infrared radiation,near infrared radiation,water ice sublimation process
high altitude imaging wind and rain airborne profiler,missing_in_envo,,,
high resolution infrared radiation sounder,missing_in_envo,stellar radiation energy,duration of stellar radiation,infrared stellar radiation
high resolution infrared radiation sounder 2,missing_in_envo,duration of stellar radiation,infrared stellar radiation,outgoing longwave radiation
high resolution infrared radiation sounder 3,missing_in_envo,duration of stellar radiation,infrared stellar radiation,outgoing longwave radiation
high resolution infrared radiation sounder 4,missing_in_envo,duration of stellar radiation,infrared stellar radiation,outgoing longwave radiation
high speed solar wind stream,missing_in_envo,speed of soil water infiltration,highland subtropical,grassland area
homologous flares,missing_in_envo,cloud forest,mollusc farming process,zoological garden
horizontal wind shear,missing_in_envo,inland sea,marine wind mixed layer,continental rise
horizontal wind velocity speed,missing_in_envo,atmospheric wind speed,hospital unit facility,
hot wind,missing_in_envo,hot spring,foehn wind,tote bin
hyder flare,missing_in_envo,hydrocarbon flame,shear fracture,desert area
hydrodynamic wave,missing_in_envo,hydrodynamic escape,chromodynamic energy,hypoxic water
ibe wind,missing_in_envo,glacier wind,foehn wind,drainage wind
image processing division national institute for space research brazil,missing_in_envo,,,
imager for magnetopause to aurora global exploration,missing_in_envo,,,
imp8solar wind crossing time catalog,missing_in_envo,polar tundra ecosystem,,
indoor environments division office of air and radiation u s environmental protection agency,missing_in_envo,,,
inertia wave,missing_in_envo,interstitial water,intertidal zone,intermediate lava
infrared flux,missing_in_envo,brake fluid,infrared radiation,interfluve
infrared imagery,missing_in_envo,infrared radiation,manufactured cage,mid infrared radiation
infrared radiance,missing_in_envo,infrared radiation,mid infrared radiation,far infrared radiation
infrared wavelengths,missing_in_envo,wind wave energy,infrared radiation,constructed pavement
inner radiation belt,missing_in_envo,irradiation,infrared radiation,stellar radiation
integral particle flux,missing_in_envo,megaplastic particle,diatomite particle,natural plastic
interactions clouds aerosols radiations etc,missing_in_envo,formation of a liquid aerosol in an atmosphere,duration of stellar radiation,formation of a solid aerosol in an atmosphere
intercomparison of radiation codes in climate models,missing_in_envo,concentration of carbon dioxide in an atmosphere,concentration of bromine in water ice,concentration of peridinin in liquid water
internal gravity wave,missing_in_envo,terminal moraine,inflationary cave,interstitial water
interplanetary magnetic field,missing_in_envo,planetary mantle,inner planetary core,planetary photic zone
interplanetary medium,missing_in_envo,inner planetary core,outer planetary core,protoplanetary disk
interplanetary shock,missing_in_envo,inner planetary core,outer planetary core,protoplanetary disk
interstellar radiation field,missing_in_envo,stellar radiation,infrared stellar radiation,stellar radiation energy
ionosphere magnetosphere dynamics,missing_in_envo,induced magnetosphere,intrinsic magnetosphere,biosphere reserve
istp solar wind catalog,missing_in_envo,stellar wind,moist soil albedo,mass of solid material
jason 1 microwave radiometer,missing_in_envo,microwave radiation,shortwave radiation,microwave stellar radiation
joint north sea wave project,missing_in_envo,obsolete vetch seed product,obsolete sea water fish product,net shortwave radiation
jpl surface acoustic wave hygrometer,missing_in_envo,surface convergence,frontal surface of a weather front,soil surface layer
k corona,missing_in_envo,ecoregion,scoria,lake coast
katabatic winds,missing_in_envo,katabatic wind,anabatic wind,downslope katabatic wind
kelvin helmholtz wave,missing_in_envo,alkaline water,bore hole water,
kelvin wave,missing_in_envo,alkaline water,saline water,cooling water
kloof wind,missing_in_envo,monsoon wind,fall wind,foehn wind
knik wind,missing_in_envo,anabatic wind,foehn wind,katabatic wind
kp index,missing_in_envo,alpine,lake inlet,pit latrine
krakatoa wind,missing_in_envo,katabatic wind,drainage wind,anabatic wind
kso halpha flare catalog,missing_in_envo,obsolete cantaloupe,synovial fluid material,
lee wave,missing_in_envo,live cave,lake water,limestone cave
length of the solar cycle,missing_in_envo,depth of water ice,depth of water,cooling of a solid
leosphere wind cube,missing_in_envo,atmospheric wind speed,atmospheric wind,atmospheric wind intensity
light amplification by stimulated emission of radiation,missing_in_envo,irradiation by non ionizing radiation,irradiation by photosynthetically active radiation,
limb flare,missing_in_envo,lime plaster,helium planet,climate
limb of the sun,missing_in_envo,grain of sea sand,grain of beach sand,volume of runoff
line of sight winds,missing_in_envo,grain of desert sand,calving of ice onto land,grain of sea sand
local wind,missing_in_envo,fall wind,squall wind,stellar wind
local winds,missing_in_envo,fall wind,squall wind,stellar wind
long crested wave,missing_in_envo,forested area,closed eaves,limestone cave
long shore wind,missing_in_envo,monsoon wind,shoreline,atmospheric wind
longitudinal wave,missing_in_envo,erosional cave,natural wax,interstitial water
longwave radiation,missing_in_envo,shortwave radiation,microwave radiation,outgoing longwave radiation
love wave,missing_in_envo,live cave,closed eaves,open eaves
magnetic cloud,missing_in_envo,homogenitus cloud,silvagenitus cloud,magnetic energy
magnetic dipole,missing_in_envo,magnetic energy,marine benthic biome,synthetic polymer
magnetic field,missing_in_envo,maize field,volcanic field,ice field
magnetic field area,missing_in_envo,magnetic energy,amniotic fluid material,volcanic field
magnetic field investigation wind,missing_in_envo,magnetic energy,ocean time series station,electromagnetic radiation
magnetic field lines,missing_in_envo,magnetic energy,marine nutricline,domestic building
magnetic field lines magnetic lines of force,missing_in_envo,neritic epipelagic zone biome,neritic pelagic zone biome,
magnetic field phenomena,missing_in_envo,magnetic energy,electromagnetic wave energy,marine benthic biome
magnetic fields magnetic currents,missing_in_envo,magnetic energy,along front current,cold surface current
magnetic flux,missing_in_envo,magnetic energy,marine tidal flow,formation fluid
magnetic intensity,missing_in_envo,magnetic energy,atmospheric wind intensity,medical instrument
magnetic reconnection,missing_in_envo,magnetic energy,human construction,electromagnetic radiation
magnetic storm,missing_in_envo,marine benthic storm,magnetic energy,convective storm
magnetic storms,missing_in_envo,marine benthic storm,magnetic energy,convective storm
magnetic substorm,missing_in_envo,marine benthic storm,magnetic energy,convective storm
magnetopause,missing_in_envo,magnetosphere,human house,warehouse
magnetopause crossing,missing_in_envo,magnetosphere,planetary erosion,igneous intrusion
magnetopause current sheet,missing_in_envo,marine current,marine surface current,magnetosphere
magnetotail,missing_in_envo,mine tailing,meteotsunami,marine biota
majola wind,missing_in_envo,fall wind,squall wind,stellar wind
maloja wind,missing_in_envo,fall wind,squall wind,monsoon wind
matanuska wind,missing_in_envo,mountain gap wind,katabatic wind,monsoon wind
maximum 1 minute sustained wind,missing_in_envo,mountain gap wind,,
maximum surface wind,missing_in_envo,seam surface,marine surface current,warm surface current
maximum wind gust,missing_in_envo,wind gust,barium dust,aluminium dust
me v auroral x ray imaging and spectroscopy,missing_in_envo,,,
meridional wind,missing_in_envo,depositional island,drainage wind,medical clinic
mhd wave,missing_in_envo,muddy water,headwater,dead cave
micro wave humidity sounder,missing_in_envo,microwave radiation,microwave stellar radiation,radio wave radiation
micro wave humidity sounder 2,missing_in_envo,microwave radiation,microwave stellar radiation,radio wave radiation
micro wave radiation imager,missing_in_envo,microwave radiation,radio wave radiation,microwave stellar radiation
micro wave temperature sounder,missing_in_envo,microwave radiation,temperature of water,microwave stellar radiation
microwave,missing_in_envo,microbialite,microwave radiation,microfracture
microwave analysis and detection of rain and atmospheric systems,missing_in_envo,concentration of carbon dioxide in an atmosphere,,
microwave atmospheric sounder for cube sat,missing_in_envo,atmospheric aerosol formation,atmospheric observatory system,middle atmospheric level
microwave burst,missing_in_envo,microburst,macroburst,microwave radiation
microwave humidity sounder,missing_in_envo,microwave radiation,microwave stellar radiation,humidity of soil
microwave imager sounder,missing_in_envo,microwave radiation,microwave stellar radiation,mangrove biome soil
microwave imagery,missing_in_envo,microwave radiation,microbial mat,ice age
microwave limb sounder,missing_in_envo,microwave radiation,microwave stellar radiation,mangrove biome soil
microwave radiance,missing_in_envo,microwave radiation,microwave stellar radiation,radio wave radiation
microwave radiometer,missing_in_envo,microwave radiation,microwave stellar radiation,radio wave radiation
microwave scanning radiometer,missing_in_envo,microwave stellar radiation,microwave radiation,montane savanna biome
microwave sounding unit,missing_in_envo,microwave radiation,air conditioning unit,masonry unit
microwave temperature profiler,missing_in_envo,temperature of air,amplitude of temperature of air,temperature of soil
microwave water radiometer,missing_in_envo,microwave stellar radiation,microwave radiation,radio wave stellar radiation
microwaves,missing_in_envo,microbialite,microcosm,microwave radiation
middelgrunden wind turbine cooperative denmark,missing_in_envo,,,
millimeter wave atmospheric sounder,missing_in_envo,middle atmospheric level,atmospheric boundary layer,atmospheric storm
miniaturized radiation monitor,missing_in_envo,infrared radiation,mid infrared radiation,far infrared radiation
moazagotl wind,missing_in_envo,monsoon wind,fall wind,drainage wind
modis atmosphere modis science team climate and radiation branch laboratory for atmospheres earth sciences division science and exploration directorate goddard space flight center nasa,missing_in_envo,,,
moreton wave,missing_in_envo,limestone cave,open eaves,limestone pavement
mountain plain wind,missing_in_envo,mountain gap wind,mountain pass,mountain range
mountain valley wind,missing_in_envo,mountain gap wind,fountain pen ink,mountain range
mountain wave,missing_in_envo,mountain range,mountain pass,mountain
mountain wave cloud,missing_in_envo,mountain range,mountain spur,mountain pass
mountain wind,missing_in_envo,mountain gap wind,mountain,mountain range
multicenter airborne coherent atmospheric profiling wind sensor,missing_in_envo,,,
multichannel microwave radiometric system,missing_in_envo,,,
multifrequency imaging microwave radiometer,missing_in_envo,outgoing longwave radiation,satellite imaging of a planet,
nasa solar dynamics observatory,missing_in_envo,omics observatory system,astronomical observatory system,atmospheric observatory system
net radiation,missing_in_envo,radiation,infrared radiation,irradiation
neutral particle flux,missing_in_envo,neutral spring,natural plastic,neutral occluded front
ngdc aa star magnetic storm catalog,missing_in_envo,electromagnetic radiation,second year ice formation,
ngdc ap star magnetic storm catalog,missing_in_envo,electromagnetic radiation,second year ice formation,
ngdc halpha flare event catalog,missing_in_envo,,,
night wind,missing_in_envo,straight line wind,light switch,drainage wind
nimbus e microwave spectrometer,missing_in_envo,brine rejection from seawater,,
noaa solar radiation network,missing_in_envo,stellar radiation energy,infrared stellar radiation,x ray stellar radiation
non ionising radiation,missing_in_envo,ionizing radiation,irradiation by ionizing radiation,irradiation by non ionizing radiation
north sea wave model,missing_in_envo,coastal sea water,coastal water body,organic waste material
npoess aircraft microwave temperature sounder,missing_in_envo,,,
npoess aircraft sounder testbed microwave radiometer,missing_in_envo,,,
nuclear radiation exposure,missing_in_envo,stellar radiation energy,nuclear reactor,stellar radiation
observations of polar mesospheric clouds pmc aurora from the international space station iss,missing_in_envo,,,
ocean discipline processing system goddard space flight center nasa,missing_in_envo,,,
ocean waves,missing_in_envo,open eaves,ocean basin,ocean planet
ocean winds,missing_in_envo,foehn wind,ocean basin,oceanic island
office of air quality planning and standards office of air and radiation u s environmental protection agency,missing_in_envo,,,
office of radiation programs u s environmental protection agency,missing_in_envo,concentration of nitrogen atom in environmental material,concentration of carbon atom in environmental material,amount of nitrogen atom in environmental material
offshore wind,missing_in_envo,monsoon wind,shoreline,atmospheric wind
onshore wind,missing_in_envo,monsoon wind,shoreline,atmospheric wind
orographic winds,missing_in_envo,geographic basin,geographic sill,atmospheric wind
outer radiation belt,missing_in_envo,stellar radiation,acoustic radiation,stellar radiation energy
ozone and atmospheric quality processing team atmospheric chemistry and dynamics branch laboratory for atmospheres earth sciences division science and exploration directorate goddard space flight center nasa,missing_in_envo,,,
ozone layer and uv radiation in a changing climate evaluated during ipy,missing_in_envo,,,
p wave,missing_in_envo,tap water,pond water,open eaves
particle composition,missing_in_envo,particle radiation,particle of silt,particle beam radiation
particle density,missing_in_envo,particle of silt,political entity,particle
particle distribution functions,missing_in_envo,particle radiation,particle beam radiation,particulate matter formation process
particle dynamics and pelagic benthic coupling in potter cove,missing_in_envo,,,
particle flux,missing_in_envo,particle,particle of silt,particle of clay
particle flux unit,missing_in_envo,particle of snow,particle of silt,particle of sand
particle speed,missing_in_envo,particle of sand,particle,particle of snow
particle temperature,missing_in_envo,oceanic temperate,particle beam radiation,obsolete air temperature
passive microwave esip,missing_in_envo,plastic frozen soil,microwave radiation,live cave
photon wave,missing_in_envo,pond water,solutional cave,outflow cave
pilot radiation observation experiment,missing_in_envo,high level radioactive sediment,radioactive sediment,irrigation reservoir
planetary geodynamics laboratory solar systems exploration division goddard space flight center nasa,missing_in_envo,,,
planetary magnetosphere,missing_in_envo,planetary atmosphere,planetary cryosphere,intrinsic magnetosphere
planetary rossby waves,missing_in_envo,planetary surface,planetary erosion,planetary cryosphere
plasma electron and current experiment,missing_in_envo,coastal buoyancy current front,eastern boundary current,boundary current front
plasma frequency,missing_in_envo,plastic fragment,plasma,plant feed
plasma wave,missing_in_envo,plasma,sea cave,primary cave
plasma waves,missing_in_envo,plasma,sea cave,primary cave
plasma waves investigation geotail,missing_in_envo,water infiltration into soil,gas power station,sea water environment
plasma waves investigation polar,missing_in_envo,vegetation layer,gas power station,water ice sublimation process
plow wind,missing_in_envo,fall wind,foehn wind,pond
polar wind geotail project,missing_in_envo,obsolete winged bean product,polar tree line ecotone,obsolete caprine dairy product
polar wind geotail project geospace physics lab laboratory for solar and space physics heliophysics science division science and exploration directorate goddard space flight center nasa,missing_in_envo,,,
post flare loops,missing_in_envo,forest floor,coastal flood,polar front
prabhakara scanning multichannel microwave radiometer,missing_in_envo,,,
precision radiation thermometers,missing_in_envo,precipitation of sleet,seasonal marine thermocline,ultrasound radiation
primary cosmic rays,missing_in_envo,primary cave,primary forest,primary atmosphere
processing of emissions by clouds and radiation v,missing_in_envo,irradiation by ionizing radiation,irradiation by non ionizing radiation,
proton event,missing_in_envo,protoplanet,impact event,iron sheet
proton flare,missing_in_envo,protoplanet,potato silage,hydrocarbon flame
proton flux,missing_in_envo,formation fluid,protoplanet,percolation
quasi biennial oscillation qbo zonal wind index,missing_in_envo,,,
radar aurora,missing_in_envo,dairy farm,water vapour,strand crack
radar ocean wave spectrometer,missing_in_envo,radioactive sediment,ocean surface stress,karman vortex street
radiation belt,missing_in_envo,radiation,aviation fuel,irradiation
radiation belts,missing_in_envo,radiation,aviation fuel,irradiation
radiation budget instrument,missing_in_envo,medical instrument,radioactive sediment,radiation shielding disposition
radiation damage,missing_in_envo,irrigation dam,radiation,irradiation
radiation dose,missing_in_envo,radiation,irradiation,aviation fuel
radiation dosimeter ssj,missing_in_envo,radioactive sediment,irrigation ditch,radiation
radiation effect,missing_in_envo,radiation,irradiation,aviation fuel
radiation exposure,missing_in_envo,radiation,irradiation,aviation fuel
radiation fog,missing_in_envo,radiation,irradiation,aviation fuel
radiation measurement system,missing_in_envo,environmental system,disturbed ecosystem,insequent stream
radiation monitoring,missing_in_envo,pollution monitoring,environmental monitoring,radioactive spring
