term,has_definition,has_taxonomy,term_only_uri_presence,uri_only_sources,definitions_and_fallback_hierarchy,definitions_count,taxonomy_paths_count,sources,sources_count,embedding_text,sssom_source_pairs,semantically_similar_terms,initial_category,recommended_action,category_rationale,candidate_merged_definition_draft,term_norm,definitions_text_norm,sources_list,strong_hits,weak_hits,farfield_hits,admin_hits,heliophysics_source_hits,category_priority,evidence_strength,relevance_score,workshop_priority_score,exclude_farfield,exclude_low_relevance,manual_include,manual_exclude,selected_for_ranking
nitrification,True,False,False,,"GEMET: The process by which ammonia compounds, including man-made fertilizer and the humus provided by organic matter or plant and animal origin, are converted into nitrites and then nitrates, which are then absorbed as a nutrient by crops. Excess nitrate can be leached into surface waters and groundwaters, causing pollution. Excess nitrate may also be converted by microbes back into gaseous nitrogen, which is an important greenhouse gas, and released back into the atmosphere. The ultimate source of nitrogen in the ecosystem is the molecular nitrogen in the atmosphere. To a very limited extent, some dissolves in water. However, none is found in rock.; GCMD: The biological oxidation of ammonia with oxygen into nitrite followed by the oxidation of these nitrites into nitrates. Degradation of ammonia to nitrite is usually the rate limiting step of nitrification. Nitrification is an important step in the nitrogen cycle in soil.",2,0,GCMD | GEMET,2,"GEMET: The process by which ammonia compounds, including man-made fertilizer and the humus provided by organic matter or plant and animal origin, are converted into nitrites and then nitrates, which are then absorbed as a nutrient by crops. Excess nitrate can be leached into surface waters and groundwaters, causing pollution. Excess nitrate may also be converted by microbes back into gaseous nitrogen, which is an important greenhouse gas, and released back into the atmosphere. The ultimate source of nitrogen in the ecosystem is the molecular nitrogen in the atmosphere. To a very limited extent, some dissolves in water. However, none is found in rock. || GCMD: The biological oxidation of ammonia with oxygen into nitrite followed by the oxidation of these nitrites into nitrates. Degradation of ammonia to nitrite is usually the rate limiting step of nitrification. Nitrification is an important step in the nitrogen cycle in soil.",GCMD <-> GEMET,nitrogen (0.39) | nitrogen fixation (0.37) | denitrification rate (0.35),Category 3 — Conflicting,Flag for structured analysis,"Different conceptual boundaries/scope detected (mean=0.35, min=0.35, distinct_superclasses=2)",,nitrification,"gemet: the process by which ammonia compounds, including man-made fertilizer and the humus provided by organic matter or plant and animal origin, are converted into nitrites and then nitrates, which are then absorbed as a nutrient by crops. excess nitrate can be leached into surface waters and groundwaters, causing pollution. excess nitrate may also be converted by microbes back into gaseous nitrogen, which is an important greenhouse gas, and released back into the atmosphere. the ultimate source of nitrogen in the ecosystem is the molecular nitrogen in the atmosphere. to a very limited extent, some dissolves in water. however, none is found in rock.; gcmd: the biological oxidation of ammonia with oxygen into nitrite followed by the oxidation of these nitrites into nitrates. degradation of ammonia to nitrite is usually the rate limiting step of nitrification. nitrification is an important step in the nitrogen cycle in soil.","['gcmd', 'gemet']",0,1,3,0,0,4.0,1.7577796618689756,-5.0,0.3439106529772299,True,True,False,False,False
overgrazing,True,False,False,,"GEMET: Intensive grazing by animals, for example cattle, sheep or goats, on an area of pasture. It has become a serious threat to the world's rangelands and grasslands. Several factors have led to overgrazing, which leads to the soil being degraded and becoming liable to erosion by wind and rain, and even to desertification. The main pressures leading to widespread overgrazing have been the need to increase the size and numbers of herds to produce more food for an increasing human population, and the transformation of traditional pasture land into plantations to grow cash crops. Throughout the dry tropics, where traditionally herds ranged over vast areas, intensive livestock-rearing schemes have taken over, mostly to provide meat for the export market. Well-digging operations have also led to heavy concentrations of animals in small areas.",1,0,GEMET,1,"GEMET: Intensive grazing by animals, for example cattle, sheep or goats, on an area of pasture. It has become a serious threat to the world's rangelands and grasslands. Several factors have led to overgrazing, which leads to the soil being degraded and becoming liable to erosion by wind and rain, and even to desertification. The main pressures leading to widespread overgrazing have been the need to increase the size and numbers of herds to produce more food for an increasing human population, and the transformation of traditional pasture land into plantations to grow cash crops. Throughout the dry tropics, where traditionally herds ranged over vast areas, intensive livestock-rearing schemes have taken over, mostly to provide meat for the export market. Well-digging operations have also led to heavy concentrations of animals in small areas.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,overgrazing,"gemet: intensive grazing by animals, for example cattle, sheep or goats, on an area of pasture. it has become a serious threat to the world's rangelands and grasslands. several factors have led to overgrazing, which leads to the soil being degraded and becoming liable to erosion by wind and rain, and even to desertification. the main pressures leading to widespread overgrazing have been the need to increase the size and numbers of herds to produce more food for an increasing human population, and the transformation of traditional pasture land into plantations to grow cash crops. throughout the dry tropics, where traditionally herds ranged over vast areas, intensive livestock-rearing schemes have taken over, mostly to provide meat for the export market. well-digging operations have also led to heavy concentrations of animals in small areas.",['gemet'],0,1,3,0,0,1.0,1.1090354888959124,-5.0,0.04798422436459246,True,True,False,False,False
fishery policy,True,False,False,,"GEMET: Common Fisheries Policy which covers all fishing activities, the farming of living aquatic resources, and their processing and marketing, on the legal basis of Article 39 of the Treaty of Rome. It was agreed between members of the European Community in 1983. It lays down annual catch limits for major species of fish, a 12-mile exclusive fishing zone for each state, and an equal-access zone of 200 nautical miles from its coast within which any member state is allowed to fish.",1,0,GEMET,1,"GEMET: Common Fisheries Policy which covers all fishing activities, the farming of living aquatic resources, and their processing and marketing, on the legal basis of Article 39 of the Treaty of Rome. It was agreed between members of the European Community in 1983. It lays down annual catch limits for major species of fish, a 12-mile exclusive fishing zone for each state, and an equal-access zone of 200 nautical miles from its coast within which any member state is allowed to fish.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,fishery policy,"gemet: common fisheries policy which covers all fishing activities, the farming of living aquatic resources, and their processing and marketing, on the legal basis of article 39 of the treaty of rome. it was agreed between members of the european community in 1983. it lays down annual catch limits for major species of fish, a 12-mile exclusive fishing zone for each state, and an equal-access zone of 200 nautical miles from its coast within which any member state is allowed to fish.",['gemet'],0,0,2,1,0,1.0,1.1090354888959124,-4.8,0.04921121822962314,True,True,False,False,False
agriculture and cattle industry,True,False,False,,GEMET: Large scale growing of crops and livestock grazing for profit.,1,0,GEMET,1,GEMET: Large scale growing of crops and livestock grazing for profit.,,forage crop (0.39) | pasture (0.37) | agricultural management (0.35) | intensive farming (0.34) | agriculture framework plan (0.32) | transhumance (0.32),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,agriculture and cattle industry,gemet: large scale growing of crops and livestock grazing for profit.,['gemet'],0,0,2,0,0,1.0,1.1090354888959124,-4.0,0.05411919368974584,True,True,False,False,False
biomass,True,False,False,,"GEMET: Biomass refers strictly speaking to the total weight of all the living things in an ecosystem. However, it has come to refer to the amount of plant and crop material that could be produced in an ecosystem for making biofuels and other raw materials used in industry, for example.; GCMD: Mass of biological material. Usually the total mass of a particular groupor category; for example, the biomass of producer organisms.",2,0,GCMD | GEMET,2,"GEMET: Biomass refers strictly speaking to the total weight of all the living things in an ecosystem. However, it has come to refer to the amount of plant and crop material that could be produced in an ecosystem for making biofuels and other raw materials used in industry, for example. || GCMD: Mass of biological material. Usually the total mass of a particular groupor category; for example, the biomass of producer organisms.",GCMD <-> GEMET,biomass dynamics (0.65) | biomass energy production/use (0.31),Category 3 — Conflicting,Flag for structured analysis,"Different conceptual boundaries/scope detected (mean=0.24, min=0.24, distinct_superclasses=2)",,biomass,"gemet: biomass refers strictly speaking to the total weight of all the living things in an ecosystem. however, it has come to refer to the amount of plant and crop material that could be produced in an ecosystem for making biofuels and other raw materials used in industry, for example.; gcmd: mass of biological material. usually the total mass of a particular groupor category; for example, the biomass of producer organisms.","['gcmd', 'gemet']",0,0,2,0,0,4.0,1.7577796618689756,-4.0,0.3500456223023833,True,True,False,False,False
crop emergence,True,False,False,,"GCMD: The period during which a seedling is weaned from dependence upon nonrenewable seed reserves originally produced by its parent, and when photosynthetic autotrophism begins. Emergence occurs when the cotyledon(s) of the seedling penetrates the soil surface (i.e. sprouting).",1,0,GCMD,1,"GCMD: The period during which a seedling is weaned from dependence upon nonrenewable seed reserves originally produced by its parent, and when photosynthetic autotrophism begins. Emergence occurs when the cotyledon(s) of the seedling penetrates the soil surface (i.e. sprouting).",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,crop emergence,"gcmd: the period during which a seedling is weaned from dependence upon nonrenewable seed reserves originally produced by its parent, and when photosynthetic autotrophism begins. emergence occurs when the cotyledon(s) of the seedling penetrates the soil surface (i.e. sprouting).",['gcmd'],0,0,2,0,0,1.0,1.1090354888959124,-4.0,0.05411919368974584,True,True,False,False,False
crop height,True,False,False,,GCMD: Crop Height is defined as the height above the soil (measured in cm) for individual plants.,1,0,GCMD,1,GCMD: Crop Height is defined as the height above the soil (measured in cm) for individual plants.,,freeboard (0.36) | altitude (0.35) | above-ground tree biomass (0.33) | crop density (0.32) | above-ground non-tree biomass (0.32) | vegetation height (0.30),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,crop height,gcmd: crop height is defined as the height above the soil (measured in cm) for individual plants.,['gcmd'],0,0,2,0,0,1.0,1.1090354888959124,-4.0,0.05411919368974584,True,True,False,False,False
drought control,True,False,False,,"GEMET: Measures taken to prevent, mitigate or eliminate damage caused to the ecosystem, especially crops, by a sustained period of dry weather.",1,0,GEMET,1,"GEMET: Measures taken to prevent, mitigate or eliminate damage caused to the ecosystem, especially crops, by a sustained period of dry weather.",,droughts (0.31),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,drought control,"gemet: measures taken to prevent, mitigate or eliminate damage caused to the ecosystem, especially crops, by a sustained period of dry weather.",['gemet'],0,0,2,0,0,1.0,1.1090354888959124,-4.0,0.05411919368974584,True,True,False,False,False
environmental change,True,False,False,,"GEMET: Changes that may take place in ecosystems, climate, soil, habitats, etc. due to pressures of various origin.",1,0,GEMET,1,"GEMET: Changes that may take place in ecosystems, climate, soil, habitats, etc. due to pressures of various origin.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,environmental change,"gemet: changes that may take place in ecosystems, climate, soil, habitats, etc. due to pressures of various origin.",['gemet'],0,0,2,0,0,1.0,1.1090354888959124,-4.0,0.05411919368974584,True,True,False,False,False
field crop products,True,False,False,,"GCMD: Measurements related to any field crop (plants grown primarily for theirseed, e.g. corn, wheat, oats, soybeans) products which are articles ofcommerce.",1,0,GCMD,1,"GCMD: Measurements related to any field crop (plants grown primarily for theirseed, e.g. corn, wheat, oats, soybeans) products which are articles ofcommerce.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,field crop products,"gcmd: measurements related to any field crop (plants grown primarily for theirseed, e.g. corn, wheat, oats, soybeans) products which are articles ofcommerce.",['gcmd'],0,0,2,0,0,1.0,1.1090354888959124,-4.0,0.05411919368974584,True,True,False,False,False
forest science,True,False,False,,"GCMD: The branch of Agriculture that deals with forestry, trees, forests, Treeand forest management.",1,0,GCMD,1,"GCMD: The branch of Agriculture that deals with forestry, trees, forests, Treeand forest management.",,forest ecology (0.35) | forest fire science (0.34) | volcanology (0.32),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,forest science,"gcmd: the branch of agriculture that deals with forestry, trees, forests, treeand forest management.",['gcmd'],0,0,2,0,0,1.0,1.1090354888959124,-4.0,0.05411919368974584,True,True,False,False,False
marine biodiversity,True,False,False,,GEMET: number of species types in a particular ecosystem in the world's oceans and seas,1,0,GEMET,1,GEMET: number of species types in a particular ecosystem in the world's oceans and seas,,oceanography (0.35),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,marine biodiversity,gemet: number of species types in a particular ecosystem in the world's oceans and seas,['gemet'],0,0,2,0,0,1.0,1.1090354888959124,-4.0,0.05411919368974584,True,True,False,False,False
mite,True,False,False,,"GEMET: An order of small Arachnida with rounded bodies. Mites are very abundant in the soil, feeding on plant material and invertebrate animals. Some parasitic mites (e.g. red spider) damage crops and can be serious pests. Others cause diseases in animals. Ticks are blood-suckers, some being vectors of diseases such as Rocky Mountain spotted fever in humans and fowls, and louping ill in cattle and sheep.",1,0,GEMET,1,"GEMET: An order of small Arachnida with rounded bodies. Mites are very abundant in the soil, feeding on plant material and invertebrate animals. Some parasitic mites (e.g. red spider) damage crops and can be serious pests. Others cause diseases in animals. Ticks are blood-suckers, some being vectors of diseases such as Rocky Mountain spotted fever in humans and fowls, and louping ill in cattle and sheep.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,mite,"gemet: an order of small arachnida with rounded bodies. mites are very abundant in the soil, feeding on plant material and invertebrate animals. some parasitic mites (e.g. red spider) damage crops and can be serious pests. others cause diseases in animals. ticks are blood-suckers, some being vectors of diseases such as rocky mountain spotted fever in humans and fowls, and louping ill in cattle and sheep.",['gemet'],0,0,2,0,0,1.0,1.1090354888959124,-4.0,0.05411919368974584,True,True,False,False,False
pesticides,True,False,False,,"GCMD: Chemical compounds that are used to kill pests, including insects, rodents, fungi and unwanted plants (weeds). Pesticides are used in public health to kill vectors of disease, such as mosquitoes, and in agriculture, to kill pests that damage crops. By their nature, pesticides are potentially toxic to other organisms, including humans, and need to be used safely and disposed of properly.; GCMD: Any measure of or about insecticides, fungicides, or herbicides; may include non-chemical/manufactured agents, and/or natural defensemechanisms.",2,0,GCMD,1,"GCMD: Chemical compounds that are used to kill pests, including insects, rodents, fungi and unwanted plants (weeds). Pesticides are used in public health to kill vectors of disease, such as mosquitoes, and in agriculture, to kill pests that damage crops. By their nature, pesticides are potentially toxic to other organisms, including humans, and need to be used safely and disposed of properly. || GCMD: Any measure of or about insecticides, fungicides, or herbicides; may include non-chemical/manufactured agents, and/or natural defensemechanisms.",,pesticide (0.46) | utilisation of pesticides (0.32) | fumigation (0.32) | biocide (0.32),Category 3 — Conflicting,Flag for structured analysis,"Different conceptual boundaries/scope detected (mean=0.07, min=0.07, distinct_superclasses=1)",,pesticides,"gcmd: chemical compounds that are used to kill pests, including insects, rodents, fungi and unwanted plants (weeds). pesticides are used in public health to kill vectors of disease, such as mosquitoes, and in agriculture, to kill pests that damage crops. by their nature, pesticides are potentially toxic to other organisms, including humans, and need to be used safely and disposed of properly.; gcmd: any measure of or about insecticides, fungicides, or herbicides; may include non-chemical/manufactured agents, and/or natural defensemechanisms.",['gcmd'],0,0,2,0,0,4.0,1.514500597004077,-4.0,0.33751071157264423,True,True,False,False,False
soil productivity,True,False,False,,GCMD: The capacity of a soil for producing a specified plant or sequence ofplants under a specified system of management; emphasizing the ability toproduce crops.; GCMD: The capacity of a soil for producing a specified plant or sequence of plants under a specified system of management; emphasizing the ability to produce crops.,2,0,GCMD,1,GCMD: The capacity of a soil for producing a specified plant or sequence ofplants under a specified system of management; emphasizing the ability toproduce crops. || GCMD: The capacity of a soil for producing a specified plant or sequence of plants under a specified system of management; emphasizing the ability to produce crops.,,,Category 1 — Non-Problematic,Accept as stable (provisional),"High similarity across source statements (mean=0.87, min=0.87)",,soil productivity,gcmd: the capacity of a soil for producing a specified plant or sequence ofplants under a specified system of management; emphasizing the ability toproduce crops.; gcmd: the capacity of a soil for producing a specified plant or sequence of plants under a specified system of management; emphasizing the ability to produce crops.,['gcmd'],0,0,2,0,0,1.0,1.514500597004077,-4.0,0.07501071157264429,True,True,False,False,False
wetlands ecosystem,True,False,False,,"GEMET: Ecosystems of areas largely inundated with water but offering elevated lands as a habitat for wildlife. This areas include swamps, both seasonal and permanent, marsh, open fresh water, shallow saline lagoons, the estuaries of rivers, floodplains and coastal sand dunes. They provide food, breeding grounds, water and sanctuary for many forms of fish, birds and other animal and plant life. They are among the most productive ecosystems producing timber, peat moss and crops such as rice and a variety of berries.",1,0,GEMET,1,"GEMET: Ecosystems of areas largely inundated with water but offering elevated lands as a habitat for wildlife. This areas include swamps, both seasonal and permanent, marsh, open fresh water, shallow saline lagoons, the estuaries of rivers, floodplains and coastal sand dunes. They provide food, breeding grounds, water and sanctuary for many forms of fish, birds and other animal and plant life. They are among the most productive ecosystems producing timber, peat moss and crops such as rice and a variety of berries.",,estuaries (0.30),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,wetlands ecosystem,"gemet: ecosystems of areas largely inundated with water but offering elevated lands as a habitat for wildlife. this areas include swamps, both seasonal and permanent, marsh, open fresh water, shallow saline lagoons, the estuaries of rivers, floodplains and coastal sand dunes. they provide food, breeding grounds, water and sanctuary for many forms of fish, birds and other animal and plant life. they are among the most productive ecosystems producing timber, peat moss and crops such as rice and a variety of berries.",['gemet'],0,0,2,0,0,1.0,1.1090354888959124,-4.0,0.05411919368974584,True,True,False,False,False
