term,definitions,hierarchy_paths,sources
aad ground level enhancement catalog,['AAD Ground Level Enhancement List'],['AadGroundLevelEnhancementCatalog -> aad ground level enhancement catalog'],['HELIO Ontology']
abandoned industrial site,"['Site that cannot be used for any purpose, being contaminated by pollutants, not necessarily radioactive.']",['land setup -> abandoned industrial site'],['GEMET']
abandoned vehicle,"['A vehicle that has been discarded in the environment, urban or otherwise, often found wrecked, destroyed, damaged or with a major component part stolen or missing.']",['waste -> type of waste -> abandoned vehicle'],['GEMET']
abiotic environment,"['The non-living components of the environment (rocks, minerals, soil, water and climate).']",['environment -> physical environment -> abiotic environment'],['GEMET']
abiotic factor,"['Physical, chemical and other non-living environmental factors. They are essential for living plants and animals of an ecosystem, providing the essential elements and nutrients that are necessary for growth. The abiotic elements also include the climatic and pedologic components of the ecosystem.']",['biosphere -> ecology -> ecological parameter -> abiotic factor | science -> natural science -> life science -> ecology -> ecological parameter -> abiotic factor'],['GEMET']
ablation,"['The process of removal of material from the surface of an object by vaporization, chipping, or other erosive processes. The term occurs in spaceflight associated with atmospheric reentry, in glaciology, medicine, and passive fire protection.']","['EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> GLACIAL PROCESSES -> ABLATION', 'EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> GLACIAL PROCESSES -> ABLATION']",['GCMD']
ablation zones/accumulation zones,['Pertaining to the reduction of a glacier due to melting and/orevaporation.'],"['EARTH SCIENCE -> TERRESTRIAL HYDROSPHERE -> GLACIERS/ICE SHEETS -> ABLATION ZONES/ACCUMULATION ZONES', 'EARTH SCIENCE -> CRYOSPHERE -> GLACIERS/ICE SHEETS -> ABLATION ZONES/ACCUMULATION ZONES']",['GCMD']
above-ground biomass,"['all living biomass above the soil including stem, stump, branches, bark, seeds and foliage']",['biosphere -> ecology -> ecological parameter -> biomass -> above-ground biomass | science -> natural science -> life science -> ecology -> ecological parameter -> biomass -> above-ground biomass'],['GEMET']
above-ground biomass growth,"['oven-dry weight of net annual increment (s.b) of a tree, stand or forest plus oven-dry weight of annual growth of branches, twigs, foliage, top and stump']",['biosphere -> ecology -> ecological parameter -> biomass -> above-ground biomass -> above-ground biomass growth | science -> natural science -> life science -> ecology -> ecological parameter -> biomass -> above-ground biomass -> above-ground biomass growth'],['GEMET']
above-ground non-tree biomass,['all living matter above-ground excluding trees with trees defined as generally five cm or greater diameter at breast height (4.3 feet above ground)'],['biosphere -> ecology -> ecological parameter -> biomass -> above-ground non-tree biomass | science -> natural science -> life science -> ecology -> ecological parameter -> biomass -> above-ground non-tree biomass'],['GEMET']
above-ground tree biomass,['all living matter composed of trees defined as generally five cm or greater diameter at breast height (4.3 feet above ground)'],['biosphere -> ecology -> ecological parameter -> biomass -> above-ground biomass -> above-ground tree biomass | biosphere -> ecology -> ecological parameter -> biomass -> above-ground tree biomass | biosphere -> ecology -> ecological parameter -> biomass -> below-ground biomass -> above-ground tree biomass | biosphere -> ecology -> ecological parameter -> biomass -> tree biomass -> above-ground tree biomass | science -> natural science -> life science -> ecology -> ecological parameter -> biomass -> above-ground biomass -> above-ground tree biomass | science -> natural science -> life science -> ecology -> ecological parameter -> biomass -> above-ground tree biomass | science -> natural science -> life science -> ecology -> ecological parameter -> biomass -> below-ground biomass -> above-ground tree biomass | science -> natural science -> life science -> ecology -> ecological parameter -> biomass -> tree biomass -> above-ground tree biomass'],['GEMET']
abrasion,['Mechanical scraping of a rock surface by friction between rocks and moving particles.'],"['EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> COASTAL PROCESSES -> ABRASION', 'EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> AEOLIAN PROCESSES -> ABRASION', 'EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> COASTAL PROCESSES -> ABRASION', 'EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> AEOLIAN PROCESSES -> ABRASION', 'EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> FLUVIAL PROCESSES -> ABRASION', 'EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> GLACIAL PROCESSES -> ABRASION', 'EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> GLACIAL PROCESSES -> ABRASION', 'EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> FLUVIAL PROCESSES -> ABRASION']",['GCMD']
abrupt/rapid climate change,[],[],['AGU Index Terms']
abs net current helicity,['Absolute value of the net current helicity'],['AbsNetCurrentHelicity -> abs net current helicity'],['Heliophysics Events Knowledgebase']
absolute abundance,"['The quantification of the precise amount of a specific DNA or RNA molecule in a sample. Absolute abundance provides the quantitative abundance of DNA or RNA in a sample, as opposed to the relative abundance produced by traditional PCR methods. Two common methods to determine absolute abundance include:Cell-based methods such as flow cytometry used in ddPCRMolecular methods used in qPCR']",['EARTH SCIENCE -> BIOSPHERE -> OMICS -> OMICS METHODOLOGY -> ABSOLUTE ABUNDANCE'],['GCMD']
absolute dynamic topography,"[""The absolute dynamic topography, from which the ocean's currents can be derived by geostrophy, is obtained, either by subtracting the geoid height from the altimetric Mean Sea Surface height above the reference ellipsoid, or by estimating the ocean Mean Dynamic Topography and adding it to the altimetric sea level.""]",['EARTH SCIENCE -> OCEANS -> SEA SURFACE TOPOGRAPHY -> DYNAMIC TOPOGRAPHY -> ABSOLUTE DYNAMIC TOPOGRAPHY'],['GCMD']
absolute humidity,"['In a system of moist air, the ratio of the mass of water vapor present to the volume occupied by the mixture; that is, the density of the water vapor component.']",['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC WATER VAPOR -> WATER VAPOR INDICATORS -> HUMIDITY -> ABSOLUTE HUMIDITY'],['GCMD']
absolute salinity,"['The mass fraction of total dissolved solids/salt per kilogram of seawater. In practice, this mass is difficult to determine. A protocol was adopted in 1902 by an international commission to approach the value of the dissolved substance mass.']",['EARTH SCIENCE -> OCEANS -> SALINITY/DENSITY -> OCEAN SALINITY -> ABSOLUTE SALINITY'],['GCMD']
absorbing aerosol optical depth/thickness,"['The integrated extinction of shortwave energy by aerosols through the atmospheric column attributable to absorbing aerosols, and a component of the more commonly used total aerosol optical depth.']",['EARTH SCIENCE -> ATMOSPHERE -> AEROSOLS -> AEROSOL OPTICAL DEPTH/THICKNESS -> ABSORBING AEROSOL OPTICAL DEPTH/THICKNESS'],['GCMD']
absorption,"['Decrease of radiant energy (relative to the background continuum spectrum).', 'Decrease of radiant energy (relative to thebackground continuum spectrum).', 'A process by which incident radiation is taken into a body and retained without reflection or transmission. It increases either the internal or the kinetic energy of the molecules or atoms composing the absorbing medium.', 'The process in which incident radiant energy is retained by a substance.A further process always results from absorption, that is, the irreversible conversion of the absorbed radiation into some other form of energy within and according to the nature of the absorbing medium. The absorbing medium itself may emit radiation, but only after an energy conversion has occurred.See attenuation.The taking up or assimilation of one substance by another.The substances may combine chemically, or the absorption may just correspond to a physical solubility.', 'The process by which incident radiant energy is retained by a substance.The absorbed radiation is converted to another form of energy according tothe nature of the absorbing medium.']","['Absorption', 'EARTH SCIENCE -> OCEANS -> OCEAN OPTICS -> ABSORPTION', 'EARTH SCIENCE -> ATMOSPHERE -> CLOUDS -> CLOUD RADIATIVE TRANSFER -> ABSORPTION', 'EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC RADIATION -> ABSORPTION']","['HELIO Ontology', 'SPASE Dictionary', 'GCMD']"
absorption (exposure),['The taking in of fluids or other substances by cells or tissues.'],['disease -> human disease -> poisoning -> absorption (exposure)'],['GEMET']
absorption line,"['In spectroscopy, and in particular the solar Fraunhofer spectrum, a characteristic wavelength of emitted radiation that is partially absorbed by the medium between the source and the observer.']",['absorption line'],['Space Weather Glossary']
absorption line(s),[],['Absorption line(s)'],['Space Weather Glossary (Second)']
abyssal,"['Pertaining to the biogeographic zone of the ocean bottom between the bathyal and hadal zones: from depths of approximately 13,000 to 21,000 feet (4000 to 6500 meters).']",['EARTH SCIENCE -> BIOSPHERE -> ECOSYSTEMS -> MARINE ECOSYSTEMS -> ABYSSAL'],['GCMD']
abyssal hills/plains,"['Pertaining to geophysical (seismic, magnetic, gravity, etc.) data collected on the plains and hills of the deep oceanic floor. ABYSSAL HILLS: Small hills found only in the deep sea which rise from the oceanbasin floor with heights ranging from 10 to over 500 feet and widths from a fewhundred feet to a few miles. They are found along the seaward margin of most abyssal plains and originate from the spreading of mid-ocean ridges. As such, they usually form two strips parallel to mid-ocean ridges. They generally decrease in height as one traverses away from the ridges as they gradually become covered with sediment and are replaced by abyssal plains. ABYSSAL PLAINS: Flat areas of the ocean basin floor which slope less than 1 part in 1000. These were formed by turbidity currents which covered the preexisting topography. Most abyssal plains are located between the base of thecontinental rise and the abyssal hills. The remainder are trench abyssal plainsthat lie in the bottom of deep-sea trenches. This latter type traps all sediment from turbidity currents and prevents abyssal plains from forming further seaward, e.g. much of the Pacific Ocean floor.']",['EARTH SCIENCE -> OCEANS -> BATHYMETRY/SEAFLOOR TOPOGRAPHY -> ABYSSAL HILLS/PLAINS'],['GCMD']
ac electric field,"['Alternating electric field component of a wave.', 'Alternating electric field component of awave.']",['ACElectricField -> ac electric field'],"['HELIO Ontology', 'SPASE Dictionary']"
ac magnetic field,"['Alternating magnetic field component of a wave.', 'Alternating magnetic field component of awave.']",['ACMagneticField -> ac magnetic field'],"['HELIO Ontology', 'SPASE Dictionary']"
accelerator mass spectrometer,[],['AcceleratorMassSpectrometer -> accelerator mass spectrometer'],['HELIO Ontology']
accelerometer,[],['Accelerometer'],['HELIO Ontology']
acceptable daily intake,"['The measurement of the amount of any chemical substance that can be safely consumed by a human being in a day. Calculations are usually based on the maximum level of a substance that can be fed to animals without producing any harmful effects. This is divided by a ""safety factor"" to allow for the differences between animals and humans and to take account of the variation in human diets.']",['parameter -> acceptable daily intake'],['GEMET']
acceptable risk level,['Level of risk judged to be outweighed by corresponding benefits or one that is of such a degree that it is considered to pose minimal potential for adverse effects.'],['parameter -> acceptable risk level'],['GEMET']
access information,"['Attributes of the resource which pertain tohow to accessing the resource, availability and storage format.']",['AccessInformation -> access information'],['SPASE Dictionary']
access rights,['Permissions granted or denied by the host ofa product to allow other users to access and use the resource.'],['AccessRights -> access rights'],['SPASE Dictionary']
access road,"['Any street or narrow stretch of paved surface that leads to a specific destination, such as a main highway.']",['built environment -> infrastructure -> traffic infrastructure -> road network -> road -> access road'],['GEMET']
access to administrative documents,['The legal right of access to administrative documents or the opportunity to avail oneself of the same.'],['administration -> public function -> access to administrative documents'],['GEMET']
access to culture,"['The ability, right and permission to approach and use, or the general availability of resources that transmit the beliefs, customs, artistic activity and knowledge of a people.']",['culture (society) -> access to culture'],['GEMET']
access to information,"['The ability, right and permission to approach and use, or the general availability of resources that convey knowledge.']",['culture (society) -> access to culture -> access to information'],['GEMET']
access to the courts,['The right of citizens to access to the organs of the governments where justice is administered.'],['justice -> access to the courts'],['GEMET']
access to the sea,[],['administration -> administrative procedure -> right of access -> access to the sea'],['GEMET']
access url,"['Attributes of the method for accessing aresource including a URL, name and description.']",['AccessURL -> access url'],['SPASE Dictionary']
accessory lists,[],['ACCESSORY LISTS'],['GEMET']
accident,"['An unexpected occurrence, failure or loss with the potential for harming human life, property or the environment.']",['accident'],['GEMET']
accident source,"['The cause or origin of an unexpected occurrence, failure or loss with the potential for harming human life, property or the environment.']",['accident -> accident source'],['GEMET']
accidental release of organisms,"['Genetically engineered organisms that are released in the environment by mistake; once released they may exhibit some previously unknown pathogenicity, might take over from some naturally occurring bacteria (possibly having other positive functions which thus are lost) or pass on some unwanted trait to such indigenous bacteria. There is also concern that an uncontrolled genetic mutation could produce a form with hazardous consequences for the environment.']",['impact source -> anthropic activity -> release of organisms -> accidental release of organisms'],['GEMET']
accounting,['Method of recording all the transactions affecting the financial condition of a business or organization.'],['business -> accounting'],['GEMET']
accounting system,"['The system of setting up, maintaining, and auditing the books of a firm and of analyzing its financial status and operating results.']",['economy -> accounting system'],['GEMET']
accretion,"['The process where coastal sediments return to the visible portion of the beach following storm erosion.', ""(Sometimes incorrectly called coagulation.) In cloud physics, usually the growth of an ice hydrometeor by collision with supercooled cloud drops that freeze wholly or partially upon contact.May also refer to the collection of smaller ice particles. This has been called a form of agglomeration and is analogous to coalescence, in which liquid drops collect other liquid drops. See ice accretion; compare coagulation.In cloud modeling, the collection of cloud drops by drizzle drops and raindrops.This nomenclature is used along with autoconversion and self collection to distinguish among three subprocesses, evident from numerical results, responsible for the growth of the drop-size distribution by the collision–coalescence process. American Meteorological Society (http://glossary.ametsoc.org/wiki/Main_Page)'""]","['EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> COASTAL PROCESSES -> ACCRETION', 'EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> COASTAL PROCESSES -> ACCRETION', 'EARTH SCIENCE -> ATMOSPHERE -> CLOUDS -> CLOUD MICROPHYSICS -> DROPLET GROWTH -> ACCRETION']",['GCMD']
accumulated cyclone energy,"['Accumulated cyclone energy (ACE) is a measure used by the National Oceanic and Atmospheric Administration (NOAA) to express the activity of individual tropical cyclones and entire tropical cyclone seasons, particularly the Atlantic hurricane seasons. It uses an approximation of the energy used by a tropical system over its lifetime and is calculated every six-hour period. The ACE of a season is the sum of the ACEs for each storm and takes into account the number, strength, and duration of all the tropical storms in the season.']",['EARTH SCIENCE -> ATMOSPHERE -> WEATHER EVENTS -> TROPICAL CYCLONES -> ACCUMULATED CYCLONE ENERGY'],['GCMD']
accumulation in body tissues,[],['health-environment relationship -> disease cause -> human exposure to pollutants -> accumulation in body tissues'],['GEMET']
accumulative convective precipitation,"['Precipitation particles forming in the active updraft of a cumulonimbus cloud, growing primarily by the collection of cloud droplets (i.e., by coalescence and/or riming) and falling out not far from their originating updraft.']",['EARTH SCIENCE -> ATMOSPHERE -> PRECIPITATION -> ACCUMULATIVE CONVECTIVE PRECIPITATION'],['GCMD']
accumulator,"['A rechargeable device for storing electrical energy in the form of chemical energy, consisting of one or more separate secondary cells.']",['equipment -> electrical storage device -> accumulator'],['GEMET']
accuracy of data,['An estimate of the closeness of agreement between measured data and the observable being measured. In practice this is reflected by an uncertainty value taking into account all known and quantifiable sources of error in the data.'],['Accuracy of data'],['ESA Space Weather Glossary']
accuracy of service,['An estimate of the closeness of agreement between service output and the associated observable conditions. In practice this is reflected by an uncertainty value based on known performance statistics.'],['Accuracy of service'],['ESA Space Weather Glossary']
ace,['the Advanced Composition Explorer (ACE) spacecraft is positioned on the Earth-Sun line and provides measurements of the solar wind plasma and radiation conditions that will impact Earth.'],['ACE'],['NASA CCMC']
ace__cris,[],['ACE__CRIS'],['HELIO Ontology']
ace__epam,[],['ACE__EPAM'],['HELIO Ontology']
ace__mag,[],['ACE__MAG'],['HELIO Ontology']
ace__sepica,[],['ACE__SEPICA'],['HELIO Ontology']
ace__sis,[],['ACE__SIS'],['HELIO Ontology']
ace__swepam,[],['ACE__SWEPAM'],['HELIO Ontology']
ace__uleis,[],['ACE__ULEIS'],['HELIO Ontology']
acetylene,['Acetylene appears as a colorless gas with a faint garlic-like odor. Easily ignited and burns with a sooty flame. Gas is lighter than air. Flame may flash back to the source of a leak very easily. Under prolonged exposure to fire or heat the containers may rupture violently and rocket.'],['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC CHEMISTRY -> CARBON AND HYDROCARBON COMPOUNDS -> ACETYLENE'],['GCMD']
acid,['A compound capable of transferring a hydrogen ion in solution.'],['chemical -> acid'],['GEMET']
acid deposition,"['A type of pollution which washes out of the atmosphere as dilute sulphuric and nitric acids. It tends to be a regional rather than a global phenomenon, linked to particular industrial activities and meteorological conditions. It includes rain, more than normally acidic snow, mist, sleet, fog, gas and dry particles. It upsets the balance of nature, disrupting ecosystems, and destroys forests and woodlands, plants and crops; kills aquatic life by altering the chemical balance of lakes and rivers and corrodes building materials and fabrics. The pollutants are caused principally by discharges from power station chimneys of sulphur dioxide and nitrogen oxides released by burning fossil fuels, coal and oil.', 'Acid deposition is rain or snow that has a lower pH than precipitation from unpolluted skies. Acid deposition can also include dry forms of deposition such as nitrate and sulfate particles']","['pollution -> deposition -> acid deposition', 'EARTH SCIENCE -> HUMAN DIMENSIONS -> ENVIRONMENTAL IMPACTS -> ACID DEPOSITION']","['GEMET', 'GCMD']"
acid rain,"['Rain having a pH less than 5.6. The acidity results from chemical reactions occurring when water, sulphur dioxide, and nitrogen oxides, generally released by industrial processes, are chemically transformed into sulphuric and nitric acids.', 'Rain having a pH lower than 5.6, representing the pH of natural rainwater;the increased acidity is usually due to the presence of sulfuric acidand/or nitric acid, often attributed to anthropogenic sources.', 'Acid rain results when sulfur dioxide (SO2) and nitrogen oxides (NOX) are emitted into the atmosphere and transported by wind and air currents. The SO2 and NOX react with water, oxygen and other chemicals to form sulfuric and nitric acids. These then mix with water and other materials before falling to the ground.']","['pollution -> environmental pollution -> atmospheric pollution -> acid rain', 'EARTH SCIENCE -> ATMOSPHERE -> PRECIPITATION -> LIQUID PRECIPITATION -> RAIN -> ACID RAIN', 'EARTH SCIENCE -> TERRESTRIAL HYDROSPHERE -> WATER QUALITY/WATER CHEMISTRY -> CONTAMINANTS -> ACID RAIN']","['GEMET', 'GCMD']"
acidification,['Addition of an acid to a solution until the pH falls below 7.'],['chemical process -> chemical reaction -> acidification'],['GEMET']
acidity,['The state of being acid that is of being capable of transferring a hydrogen ion in solution.'],['chemical property -> concentration (value) -> acidity degree -> acidity'],['GEMET']
acidity degree,"['The amount of acid present in a solution, often expressed in terms of pH.']",['chemical property -> concentration (value) -> acidity degree'],['GEMET']
acknowledgement,"['The individual, group or organization whichshould be acknowledged when the data is used in or contributes to apresentation or publication.']",['Acknowledgement'],['SPASE Dictionary']
acorn worms,"['Common name for any worm-shaped marine invertebrates characterized by three body parts, covering of cilia and solitary benthic lifestyle.']",['EARTH SCIENCE -> BIOLOGICAL CLASSIFICATION -> ANIMALS/INVERTEBRATES -> ACORN WORMS'],['GCMD']
acoustic attenuation/transmission,"['Attenuation: Diminution of the intensity of acoustical energy propagatingthrough a medium with the distance traveled, through absorption andscattering. Transmission: Propagation or the motion of waves through oralong a medium.']",['EARTH SCIENCE -> OCEANS -> OCEAN ACOUSTICS -> ACOUSTIC ATTENUATION/TRANSMISSION'],['GCMD']
acoustic comfort,[],['health -> health care -> health protection -> acoustic comfort'],['GEMET']
acoustic filter,['A device employed to reject sound in a particular range of frequencies while passing sound in another range of frequencies.'],['equipment -> filter -> acoustic filter'],['GEMET']
acoustic frequency,['The number of cycles per unit time of a sound wave.'],['EARTH SCIENCE -> OCEANS -> OCEAN ACOUSTICS -> ACOUSTIC FREQUENCY'],['GCMD']
acoustic insulation,['The process of preventing the transmission of sound by surrounding with a nonconducting material.'],['industrial process -> physical treatment -> insulation (process) -> acoustic insulation'],['GEMET']
acoustic level,"['Physical quantity of sound measured, usually expressed in decibels.']",['parameter -> acoustic level'],['GEMET']
acoustic power,[],['AcousticPower -> acoustic power'],['HELIO Ontology']
acoustic properties,[],[],['AGU Index Terms']
acoustic property,['The characteristics found within a structure that determine the quality of sound in its relevance to hearing.'],['science -> physical science -> acoustics -> acoustic property'],['GEMET']
acoustic reflectivity,['The casting back of sound waves from a surface.'],['EARTH SCIENCE -> OCEANS -> OCEAN ACOUSTICS -> ACOUSTIC REFLECTIVITY'],['GCMD']
acoustic scattering,['The process by which some sound is dispersed to travel in directions otherthan that which from it was incident by particles suspended in the mediumthrough which it is travelling.'],['EARTH SCIENCE -> OCEANS -> OCEAN ACOUSTICS -> ACOUSTIC SCATTERING'],['GCMD']
acoustic sensor,[],['AcousticSensor -> acoustic sensor'],['HELIO Ontology']
acoustic tomography,['Identification of water masses and monitoring of water mass movementsusing acoustical techniques.'],['EARTH SCIENCE -> OCEANS -> OCEAN ACOUSTICS -> ACOUSTIC TOMOGRAPHY'],['GCMD']
acoustic velocity,"[""The speed of sound in water, which is dependent on the water'stemperature, salinity and pressure.""]",['EARTH SCIENCE -> OCEANS -> OCEAN ACOUSTICS -> ACOUSTIC VELOCITY'],['GCMD']
acoustic-gravity waves,[],[],['AGU Index Terms']
acoustical quality,['The characteristics of a confined space that determines its ability to enable music and speech to be heard clearly within it.'],['parameter -> acoustical quality'],['GEMET']
acoustics,"['The science of the production, transmission and effects of sound.']",['science -> physical science -> acoustics'],['GEMET']
act,"['1) Something done voluntarily by a person, and of such a nature that certain legal consequences attach to it. 2) Documents, decrees, edicts, laws, judgments, etc.']",['law (individual) -> act'],['GEMET']
actinic flux,"[""The spherically integrated radiation flux in the earth's atmosphere that originates from the sun, including the direct beam and any scattered components.This radiation is responsible for initiating the chemistry of the atmosphere. Compare radiance, irradiance.""]",['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC RADIATION -> ACTINIC FLUX'],['GCMD']
actinide,"['A group of 15 radioactive elements some of which occur naturally while others are produced in nuclear reactions. They include plutonium, americium and neptunium. The health hazard presented by the actinides, if they are released into the environment, comes from the potency of their radioactive characteristics. They are alpha-emitters, and therefore can cause intense localized damage in tissues if absorbed into the body.']",['chemical element -> transition element -> actinium -> actinide | society -> social process -> development pattern -> transition -> transition element -> actinium -> actinide'],['GEMET']
actinium,"['A radioactive element of the actinide series, occurring as a decay product of uranium. It is used as an alpha particle source and in neutron production.']",['chemical element -> transition element -> actinium | society -> social process -> development pattern -> transition -> transition element -> actinium'],['GEMET']
action group,['A collection of persons united to address specific sociopolitical or socioeconomic concerns.'],['society -> social differentiation -> social group -> pressure group -> action group'],['GEMET']
activated carbon,"['A powdered, granular or pelleted form of amorphous carbon characterized by a very large surface area per unit volume because of an enormous number of fine pores.']",['product -> chemical product -> activated carbon'],['GEMET']
activated sludge,['Sludge that has been aerated and subjected to bacterial action; used to speed breakdown of organism matter in raw sewage during secondary waste treatment.'],['overburden -> waste treatment -> sludge treatment -> activated sludge'],['GEMET']
active,"['Exerting an influence or producing a changeor effect. An active measurement is one which produces a transmission orexcitation as a part of the measurement cycle.', 'A descriptive word specifically meaning (1) a probability of ~50% for an M- class x-ray flare (see x-ray flare class); (2) disturbed geomagnetic levels such that 16 < Ak index < 30.']","['Active', 'active']","['SPASE Dictionary', 'Space Weather Glossary']"
active dark filament,"['A filament displaying motion or changes in shape, location, or absorption characteristics.']",['active dark filament'],['Space Weather Glossary']
active experiments,[],[],['AGU Index Terms']
active layer,"['Active layer, also called frost zone or mollisol, is part of the soil includedwith the suprapermafrost layer (i.e., existing above permafrost) that usuallyfreezes in winter and thaws in summer. Its bottom surface is the frost table, beneath which may lie permafrost ortalik. The depth of the active layer varies anywhere from a few inches toseveral feet.', 'Active layer, also called frost zone or mollisol is that part of the soil included with the suprapermafrost layer (i.e., existing above permafrost) that usually freezes in winter and thaws in summer.']","['EARTH SCIENCE -> CRYOSPHERE -> FROZEN GROUND -> ACTIVE LAYER', 'EARTH SCIENCE -> LAND SURFACE -> FROZEN GROUND -> ACTIVE LAYER']","['AGU Index Terms', 'GCMD']"
active longitude,"['A range of heliographic longitudes in either the northern or southern solar hemisphere (seldom both at the same time) containing one or more large and complex active regions formed by the frequent, localized emergence of new magnetic flux. Individual sunspot groups within the complex can have relatively short lifetimes (a week or two); the complex may persist for several solar rotations because additional spot groups form as earlier ones decay.']",['active longitude'],['Space Weather Glossary']
active participation,"['The involvement, either by an individual or a group of individuals, in their own governance or other activities, with the purpose of exerting influence.']",['society -> social behaviour -> active participation'],['GEMET']
active perturbation experiments,[],[],['AGU Index Terms']
active population,"['The number of people available and eligible for employment within a given enterprise, region or nation.']",['labour -> labour market -> manpower -> active population'],['GEMET']
active prominence,['A prominence above the solar limb moving and changing in appearance over a few minutes of time.'],['active prominence'],['Space Weather Glossary']
active prominence region,['A portion of the solar limb displaying active prominences; typically associated with an active region.'],['active prominence region'],['Space Weather Glossary']
active region,"['A localized, transient volume of the solar atmosphere in which PLAGEs, SUNSPOTS, FACULAe, FLAREs, etc. may be observed. (spase)', 'A localized, transient volume of the solaratmosphere in which PLAGEs, SUNSPOTS, FACULAe, FLAREs, etc. may be observed.', 'A localized, transient volume of the solar atmosphere in which plages, sunspots, faculae, flares, etc., may be observed. Active regions are the result of enhanced magnetic fields; they are bipolar and may be complex if the region contains two or more bipolar groups.']","['ActiveRegion -> active region', 'active region', 'Active Region']","['HELIO Ontology', 'SPASE Dictionary', 'Space Weather Glossary', 'Space Weather Glossary (Second)']"
active region number,[],['ActiveRegionNumber -> active region number'],['HELIO Ontology']
